ident,type,name,municipality,iata_code
00AA,small_airport,Aero B Ranch Airport,Leoti,
00AK,small_airport,Lowell Field,Anchor Point,
00AL,small_airport,Epps Airpark,Harvest,
00AS,small_airport,Fulton Airport,Alex,
00AZ,small_airport,Cordes Airport,Cordes,
00CA,small_airport,Goldstone /Gts/ Airport,Barstow,
00CL,small_airport,Williams Ag Airport,Biggs,
00FA,small_airport,Grass Patch Airport,Bushnell,
00FL,small_airport,River Oak Airport,Okeechobee,
00GA,small_airport,Lt World Airport,Lithonia,
00ID,small_airport,Delta Shores Airport,Clark Fork,
00IG,small_airport,Goltl Airport,McDonald,
00IL,small_airport,Hammer Airport,Polo,
00IS,small_airport,Hayenga's Cant Find Farms Airport,Kings,
00KS,small_airport,Hayden Farm Airport,Gardner,
00KY,small_airport,Robbins Roost Airport,Stanford,
00LS,small_airport,Lejeune Airport,Esterwood,
00MD,small_airport,Slater Field,Federalsburg,
00MN,small_airport,Battle Lake Municipal Airport,Battle Lake,
00MO,small_airport,Cooper Flying Service Airport,Alba,
00N,small_airport,Bucks Airport,Bridgeton,
00NC,small_airport,North Raleigh Airport,Louisburg,
00NY,small_airport,Weiss Airfield,West Bloomfield,
00OK,small_airport,Gull Bay Landing Airport,Sandsprings,
00PN,small_airport,Ferrell Field,Mercer,
00S,small_airport,Mc Kenzie Bridge State Airport,Mc Kenzie Bridge,
00SC,small_airport,Flying O Airport,Sumter,
00SD,small_airport,Homan Field,Gary,
00TN,small_airport,Ragsdale Road Airport,Manchester,
00TS,small_airport,Alpine Range Airport,Everman,
00VA,small_airport,Vaughan Airport,Alton,
00VI,small_airport,Groundhog Mountain Airport,Hillsville,
00W,small_airport,Lower Granite State Airport,Colfax,
00WA,small_airport,Howell Airport,Longbranch,
00WI,small_airport,Northern Lite Airport,Waupaca,
00WN,small_airport,Hawks Run Airport,Asotin,
00WV,small_airport,Lazy J. Aerodrome,Beverly,
00XS,small_airport,L P Askew Farms Airport,O'Donnell,
01A,small_airport,Purkeypile Airport,Purkeypile,
01AL,small_airport,Ware Island Airport,Clanton,
01CL,small_airport,Swansboro Country Airport,Placerville,
01FA,small_airport,Rybolt Ranch Airport,Orlando,
01FL,small_airport,Cedar Knoll Flying Ranch Airport,Geneva,
01GE,small_airport,The Farm Airport,Wrightsville,
01IA,small_airport,Stender Airport,Maysville,
01ID,small_airport,Lava Hot Springs Airport,Lava Hot Springs,
01II,small_airport,Myers Field,Lizton,
01IS,small_airport,William E. Koenig Airport,Dow,
01J,small_airport,Hilliard Airpark,Hilliard,
01K,small_airport,Caldwell Municipal Airport,Caldwell,
01KS,small_airport,Flying N Ranch Airport,Lost Springs,
01LA,small_airport,Barham Airport,Oak Ridge,
01LL,small_airport,Schumaier Restricted Landing Area,Pinckneyville,
01LS,small_airport,Country Breeze Airport,Slaughter,
01MT,small_airport,Crystal Lakes Resort Airport,Fortine,
01NC,small_airport,Topsail Airpark,Holly Ridge,
01NE,small_airport,Detour Airport,Wellfleet,
01NH,small_airport,Moore Airfield,Canaan,
01NM,small_airport,Champion Ranch Airport,Artesia,
01NV,small_airport,Lantana Ranch Airport,Yerington,
01PN,small_airport,Bierly(Personal Use) Airport,Bellefonte,
01PS,small_airport,Nort's Resort Airport,Meshoppen,
01SC,small_airport,York Airport,York,
01TE,small_airport,Smith Field,Forney,
01TN,small_airport,Colonial Air Park,Collierville,
01TX,small_airport,Mims Farm Ultralightport,Waxahachie,
01U,small_airport,Duckwater Airport,Duckwater,
01UT,small_airport,La Sal Junction Airport,La Sal,
01VA,small_airport,Pickles Airport,Berryville,
01WI,small_airport,Prehn Cranberry Company Airport,Tomah,
