ident,type,name,iso_region,iata_code
00AA,small_airport,Aero B Ranch Airport,US-KS,
00AK,small_airport,Lowell Field,US-AK,
00AL,small_airport,Epps Airpark,US-AL,
00AS,small_airport,Fulton Airport,US-OK,
00AZ,small_airport,Cordes Airport,US-AZ,
00CA,small_airport,Goldstone /Gts/ Airport,US-CA,
00CL,small_airport,Williams Ag Airport,US-CA,
00FA,small_airport,Grass Patch Airport,US-FL,
00FL,small_airport,River Oak Airport,US-FL,
00GA,small_airport,Lt World Airport,US-GA,
00ID,small_airport,Delta Shores Airport,US-ID,
00IG,small_airport,Goltl Airport,US-KS,
00IL,small_airport,Hammer Airport,US-IL,
00IS,small_airport,Hayenga's Cant Find Farms Airport,US-IL,
00KS,small_airport,Hayden Farm Airport,US-KS,
00KY,small_airport,Robbins Roost Airport,US-KY,
00LS,small_airport,Lejeune Airport,US-LA,
00MD,small_airport,Slater Field,US-MD,
00MN,small_airport,Battle Lake Municipal Airport,US-MN,
00MO,small_airport,Cooper Flying Service Airport,US-MO,
00N,small_airport,Bucks Airport,US-NJ,
00NC,small_airport,North Raleigh Airport,US-NC,
00NY,small_airport,Weiss Airfield,US-NY,
00OK,small_airport,Gull Bay Landing Airport,US-OK,
00PN,small_airport,Ferrell Field,US-PA,
00S,small_airport,Mc Kenzie Bridge State Airport,US-OR,
00SC,small_airport,Flying O Airport,US-SC,
00SD,small_airport,Homan Field,US-SD,
00TN,small_airport,Ragsdale Road Airport,US-TN,
00TS,small_airport,Alpine Range Airport,US-TX,
00VA,small_airport,Vaughan Airport,US-VA,
00VI,small_airport,Groundhog Mountain Airport,US-VA,
00W,small_airport,Lower Granite State Airport,US-WA,
00WA,small_airport,Howell Airport,US-WA,
00WI,small_airport,Northern Lite Airport,US-WI,
00WN,small_airport,Hawks Run Airport,US-WA,
00WV,small_airport,Lazy J. Aerodrome,US-WV,
00XS,small_airport,L P Askew Farms Airport,US-TX,
01A,small_airport,Purkeypile Airport,US-AK,
01AL,small_airport,Ware Island Airport,US-AL,
01CL,small_airport,Swansboro Country Airport,US-CA,
01FA,small_airport,Rybolt Ranch Airport,US-FL,
01FL,small_airport,Cedar Knoll Flying Ranch Airport,US-FL,
01GE,small_airport,The Farm Airport,US-GA,
01IA,small_airport,Stender Airport,US-IA,
01ID,small_airport,Lava Hot Springs Airport,US-ID,
01II,small_airport,Myers Field,US-IN,
01IS,small_airport,William E. Koenig Airport,US-IL,
01J,small_airport,Hilliard Airpark,US-FL,
01K,small_airport,Caldwell Municipal Airport,US-KS,
01KS,small_airport,Flying N Ranch Airport,US-KS,
01LA,small_airport,Barham Airport,US-LA,
01LL,small_airport,Schumaier Restricted Landing Area,US-IL,
01LS,small_airport,Country Breeze Airport,US-LA,
01MT,small_airport,Crystal Lakes Resort Airport,US-MT,
01NC,small_airport,Topsail Airpark,US-NC,
01NE,small_airport,Detour Airport,US-NE,
01NH,small_airport,Moore Airfield,US-NH,
01NM,small_airport,Champion Ranch Airport,US-NM,
01NV,small_airport,Lantana Ranch Airport,US-NV,
01PN,small_airport,Bierly(Personal Use) Airport,US-PA,
01PS,small_airport,Nort's Resort Airport,US-PA,
01SC,small_airport,York Airport,US-SC,
01TE,small_airport,Smith Field,US-TX,
01TN,small_airport,Colonial Air Park,US-TN,
01TX,small_airport,Mims Farm Ultralightport,US-TX,
01U,small_airport,Duckwater Airport,US-NV,
01UT,small_airport,La Sal Junction Airport,US-UT,
01VA,small_airport,Pickles Airport,US-VA,
01WI,small_airport,Prehn Cranberry Company Airport,US-WI,
01WY,small_airport,Keyhole Airport,US-WY,
02AK,small_airport,Rustic Wilderness Airport,US-AK,
02AL,small_airport,Bass Field,US-AL,
02CD,small_airport,Shannon Field,US-MS,
02CL,small_airport,Conover Air Lodge Airport,US-CA,
02CO,small_airport,Mc Cullough Airport,US-CO,
02FA,small_airport,Osborn Airfield,US-FL,
02GA,small_airport,Doug Bolton Field,US-GA,
02GE,small_airport,Etowah Fields Airport,US-GA,
